"StatRec","Survey","F_CODE","Quarter","Year","Lusitanian","Boreal","ratio","Lat","Lon","WKT"
"37E9","NS-IBTS","27.4.b",1,2017,8,9,0.888888888888889,-0.5,54.25,"POLYGON ((-0.999999999700151 54.0000000001,-0.999999999700151 54.5000000000001,0.000000000099988 54.5000000000001,0.000000000099988 54.0000000001,-0.999999999700151 54.0000000001))"
"37F0","NS-IBTS","27.4.b",1,2017,14,8,1.75,0.5,54.25,"POLYGON ((0.000000000099988 54.0000000001,0.000000000099988 54.5000000000001,0.999999999900126 54.5000000000001,0.999999999900126 54.0000000001,0.000000000099988 54.0000000001))"
"37F1","NS-IBTS","27.4.b",1,2017,16,12,1.33333333333333,1.5,54.25,"POLYGON ((0.999999999900126 54.0000000001,0.999999999900126 54.5000000000001,1.99999999970026 54.5000000000001,1.99999999970026 54.0000000001,0.999999999900126 54.0000000001))"
"37F2","NS-IBTS","27.4.b",1,2017,12,10,1.2,2.5,54.25,"POLYGON ((1.99999999970026 54.0000000001,1.99999999970026 54.5000000000001,3.00000000039972 54.5000000000001,3.00000000039972 54.0000000001,1.99999999970026 54.0000000001))"
"37F3","NS-IBTS","27.4.b",1,2017,11,10,1.1,3.5,54.25,"POLYGON ((3.00000000039972 54.0000000001,3.00000000039972 54.5000000000001,4.00000000019992 54.5000000000001,4.00000000019992 54.0000000001,3.00000000039972 54.0000000001))"
"37F4","NS-IBTS","27.4.b",1,2017,13,5,2.6,4.5,54.25,"POLYGON ((4.00000000019992 54.0000000001,4.00000000019992 54.5000000000001,5.00000000000006 54.5000000000001,5.00000000000006 54.0000000001,4.00000000019992 54.0000000001))"
"37F5","NS-IBTS","27.4.b",1,2017,7,5,1.4,5.5,54.25,"POLYGON ((5.00000000000006 54.0000000001,5.00000000000006 54.5000000000001,5.9999999998002 54.5000000000001,5.9999999998002 54.0000000001,5.00000000000006 54.0000000001))"
"37F6","NS-IBTS","27.4.b",1,2017,9,6,1.5,6.5,54.25,"POLYGON ((5.9999999998002 54.0000000001,5.9999999998002 54.5000000000001,6.99999999960033 54.5000000000001,6.99999999960033 54.0000000001,5.9999999998002 54.0000000001))"
"37F7","NS-IBTS","27.4.b",1,2017,4,6,0.666666666666667,7.5,54.25,"POLYGON ((6.99999999960033 54.0000000001,6.99999999960033 54.5000000000001,8.00000000029985 54.5000000000001,8.00000000029985 54.0000000001,6.99999999960033 54.0000000001))"
"37F8","NS-IBTS","27.4.b",1,2017,7,10,0.7,8.5,54.25,"POLYGON ((8.00000000029985 54.0000000001,8.00000000029985 54.5000000000001,9.00000000009999 54.5000000000001,9.00000000009999 54.0000000001,8.00000000029985 54.0000000001))"
