"Survey","Quarter","Year","StatRec","F_CODE","Lat","Lon","WKT","Boreal","Lusitanian","Unknown","Atlantic","ratio"
"NS-IBTS",1,1973,"42E7","4.b",-2.5,56.75,"POLYGON ((-3.0000000001998 56.4999999996003,-3.0000000001998 57.0000000003998,-2.00000000039967 57.0000000003998,-2.00000000039967 56.4999999996003,-3.0000000001998 56.4999999996003))",11,4,2,0,0.363636363636364
"NS-IBTS",1,1973,"43E8","4.b",-1.5,57.25,"POLYGON ((-2.00000000039967 57.0000000003998,-2.00000000039967 57.5000000002998,-0.999999999700151 57.5000000002998,-0.999999999700151 57.0000000003998,-2.00000000039967 57.0000000003998))",9,8,3,0,0.888888888888889
"NS-IBTS",1,1973,"43E9","4.b",-0.5,57.25,"POLYGON ((-0.999999999700151 57.0000000003998,-0.999999999700151 57.5000000002998,0.000000000099988 57.5000000002998,0.000000000099988 57.0000000003998,-0.999999999700151 57.0000000003998))",10,6,2,0,0.6
"NS-IBTS",1,1973,"44E6","4.a",-3.5,57.75,"POLYGON ((-3.99999999999994 57.5000000002998,-3.99999999999994 58.0000000001999,-3.0000000001998 58.0000000001999,-3.0000000001998 57.5000000002998,-3.99999999999994 57.5000000002998))",9,7,0,0,0.777777777777778
"NS-IBTS",1,1973,"44E7","4.a",-2.5,57.75,"POLYGON ((-3.0000000001998 57.5000000002998,-3.0000000001998 58.0000000001999,-2.00000000039967 58.0000000001999,-2.00000000039967 57.5000000002998,-3.0000000001998 57.5000000002998))",12,9,1,0,0.75
"NS-IBTS",1,1973,"44E8","4.a",-1.5,57.75,"POLYGON ((-2.00000000039967 57.5000000002998,-2.00000000039967 58.0000000001999,-0.999999999700151 58.0000000001999,-0.999999999700151 57.5000000002998,-2.00000000039967 57.5000000002998))",9,5,1,0,0.555555555555556
"NS-IBTS",1,1973,"44E9","4.a",-0.5,57.75,"POLYGON ((-0.999999999700151 57.5000000002998,-0.999999999700151 58.0000000001999,0.000000000099988 58.0000000001999,0.000000000099988 57.5000000002998,-0.999999999700151 57.5000000002998))",9,8,1,0,0.888888888888889
"NS-IBTS",1,1973,"45E6","4.a",-3.5,58.25,"POLYGON ((-3.99999999999994 58.0000000001999,-3.99999999999994 58.5000000001,-3.0000000001998 58.5000000001,-3.0000000001998 58.0000000001999,-3.99999999999994 58.0000000001999))",10,8,2,0,0.8
"NS-IBTS",1,1973,"45E7","4.a",-2.5,58.25,"POLYGON ((-3.0000000001998 58.0000000001999,-3.0000000001998 58.5000000001,-2.00000000039967 58.5000000001,-2.00000000039967 58.0000000001999,-3.0000000001998 58.0000000001999))",8,6,1,0,0.75
"NS-IBTS",1,1973,"46E6","4.a",-3.5,58.75,"POLYGON ((-3.99999999999994 58.5000000001,-3.99999999999994 59.0000000000001,-3.0000000001998 59.0000000000001,-3.0000000001998 58.5000000001,-3.99999999999994 58.5000000001))",11,10,3,0,0.909090909090909
"NS-IBTS",1,1973,"46E7","4.a",-2.5,58.75,"POLYGON ((-3.0000000001998 58.5000000001,-3.0000000001998 59.0000000000001,-2.00000000039967 59.0000000000001,-2.00000000039967 58.5000000001,-3.0000000001998 58.5000000001))",9,6,0,0,0.666666666666667
"NS-IBTS",1,1974,"45F0","4.a",0.5,58.25,"POLYGON ((0.000000000099988 58.0000000001999,0.000000000099988 58.5000000001,0.999999999900126 58.5000000001,0.999999999900126 58.0000000001999,0.000000000099988 58.0000000001999))",3,0,0,0,0
"NS-IBTS",1,1974,"45F2","4.a",2.5,58.25,"POLYGON ((1.99999999970026 58.0000000001999,1.99999999970026 58.5000000001,3.00000000039972 58.5000000001,3.00000000039972 58.0000000001999,1.99999999970026 58.0000000001999))",3,0,0,0,0
